step,lr,influence_raw,influence_lr_normalized
231,3.48000000e-05,-7.35178938e-08,-2.11258315e-03
232,3.49500000e-05,1.54058002e-07,4.40795427e-03
233,3.51000000e-05,1.95940195e-07,5.58234172e-03
234,3.52500000e-05,2.09123258e-07,5.93257468e-03
235,3.54000000e-05,-8.24826671e-08,-2.33001885e-03
236,3.55500000e-05,-5.07416005e-08,-1.42733053e-03
237,3.57000000e-05,-2.60512586e-07,-7.29727132e-03
238,3.58500000e-05,1.11161399e-07,3.10073637e-03
239,3.60000000e-05,-1.17667278e-07,-3.26853550e-03
240,3.61500000e-05,-7.16831030e-08,-1.98293508e-03
241,3.63000000e-05,-1.28194565e-07,-3.53153072e-03
242,3.64500000e-05,5.19487524e-08,1.42520583e-03
243,3.66000000e-05,3.31588497e-07,9.05979500e-03
244,3.67500000e-05,4.29608797e-08,1.16900353e-03
245,3.69000000e-05,2.02826238e-07,5.49664600e-03
246,3.70500000e-05,2.82914887e-07,7.63602933e-03
247,3.72000000e-05,1.64375091e-07,4.41868525e-03
248,3.73500000e-05,-5.12536174e-08,-1.37225214e-03
249,3.75000000e-05,1.01706995e-07,2.71218654e-03
250,3.76500000e-05,-2.53499288e-07,-6.73304881e-03
251,3.78000000e-05,1.02918702e-07,2.72271699e-03
252,3.79500000e-05,4.24504210e-08,1.11858817e-03
253,3.81000000e-05,2.89296116e-08,7.59307391e-04
254,3.82500000e-05,-8.61575593e-08,-2.25248521e-03
255,3.84000000e-05,2.14293903e-08,5.58057040e-04
256,3.85500000e-05,1.41911446e-07,3.68123077e-03
257,3.87000000e-05,-1.49089137e-07,-3.85243249e-03
258,3.88500000e-05,-1.71921911e-07,-4.42527442e-03
259,3.90000000e-05,-6.09349846e-08,-1.56243550e-03
260,3.91500000e-05,2.32940045e-07,5.94993729e-03
261,3.93000000e-05,1.11463214e-07,2.83621409e-03
262,3.94500000e-05,9.83267836e-08,2.49244065e-03
263,3.96000000e-05,-1.89090616e-07,-4.77501556e-03
264,3.97500000e-05,-2.58818245e-07,-6.51115081e-03
265,3.99000000e-05,-4.05610521e-07,-1.01656772e-02
266,4.00500000e-05,9.02903552e-08,2.25444083e-03
267,4.02000000e-05,6.55300988e-08,1.63010196e-03
268,4.03500000e-05,4.74536845e-07,1.17605166e-02
269,4.05000000e-05,2.62235399e-07,6.47494812e-03
270,4.06500000e-05,1.40811357e-07,3.46399402e-03
271,4.08000000e-05,2.07952099e-07,5.09686517e-03
272,4.09500000e-05,-3.02505009e-07,-7.38717970e-03
273,4.11000000e-05,-2.56208582e-07,-6.23378546e-03
274,4.12500000e-05,4.96725427e-08,1.20418285e-03
275,4.14000000e-05,-5.53841941e-08,-1.33778247e-03
276,4.15500000e-05,-1.49059025e-07,-3.58746150e-03
277,4.17000000e-05,-7.42001662e-08,-1.77938049e-03
278,4.18500000e-05,3.71568816e-08,8.87858580e-04
279,4.20000000e-05,2.63871800e-08,6.28266190e-04
280,4.21500000e-05,5.32237598e-07,1.26272265e-02
281,4.23000000e-05,-1.65371672e-07,-3.90949579e-03
282,4.24500000e-05,-4.60270363e-07,-1.08426470e-02
283,4.26000000e-05,-1.22978663e-07,-2.88682308e-03
284,4.27500000e-05,2.27663745e-07,5.32546771e-03
285,4.29000000e-05,-1.41767166e-07,-3.30459593e-03
286,4.30500000e-05,-1.85890781e-07,-4.31802046e-03
287,4.32000000e-05,-9.92413507e-08,-2.29725349e-03
288,4.33500000e-05,1.74678863e-07,4.02950089e-03
289,4.35000000e-05,4.27343601e-07,9.82399083e-03
290,4.36500000e-05,-6.45053793e-08,-1.47778647e-03
291,4.38000000e-05,-8.61122174e-08,-1.96603236e-03
292,4.39500000e-05,-2.27205445e-07,-5.16963471e-03
293,4.41000000e-05,-2.57415006e-07,-5.83707497e-03
294,4.42500000e-05,8.68226844e-08,1.96209456e-03
295,4.44000000e-05,4.99865886e-07,1.12582407e-02
296,4.45500000e-05,8.10448166e-08,1.81918780e-03
297,4.47000000e-05,3.66203689e-07,8.19247627e-03
298,4.48500000e-05,-2.12244220e-07,-4.73231259e-03
299,4.50000000e-05,-1.42484944e-07,-3.16633209e-03
300,4.51500000e-05,5.42465748e-08,1.20147452e-03
301,4.53000000e-05,1.13790039e-07,2.51192139e-03
302,4.54500000e-05,-2.42853218e-07,-5.34330512e-03
303,4.56000000e-05,-4.48563983e-07,-9.83692945e-03
304,4.57500000e-05,-1.00248825e-07,-2.19123114e-03
305,4.59000000e-05,-2.15008711e-07,-4.68428564e-03
306,4.60500000e-05,-1.19241275e-08,-2.58938707e-04
307,4.62000000e-05,1.34770978e-07,2.91712074e-03
308,4.63500000e-05,7.29384242e-08,1.57364453e-03
309,4.65000000e-05,-3.33715180e-07,-7.17667054e-03
310,4.66500000e-05,1.81403901e-08,3.88861524e-04
311,4.68000000e-05,4.58301477e-07,9.79276660e-03
312,4.69500000e-05,-2.67328002e-08,-5.69388716e-04
313,4.71000000e-05,7.31798619e-08,1.55371257e-03
314,4.72500000e-05,2.91387730e-08,6.16693607e-04
315,4.74000000e-05,4.27581214e-07,9.02070072e-03
316,4.75500000e-05,5.36289582e-08,1.12784349e-03
317,4.77000000e-05,-2.90602185e-07,-6.09228900e-03
318,4.78500000e-05,-5.03891223e-07,-1.05306421e-02
319,4.80000000e-05,-3.82920597e-07,-7.97751245e-03
320,4.81500000e-05,1.92233058e-07,3.99237919e-03
321,4.83000000e-05,5.92649615e-07,1.22701784e-02
